lat,lon,region,species,elevation,start,end,source,name
40.1,72.35,asia,JUSP,2800,1591,1995,ITRDB,kyrg003
40.1,72.35,asia,JUSP,2800,1378,1995,ITRDB,kyrg004
40.1,72.35,asia,JUSP,3200,1316,1995,ITRDB,kyrg005
40.1,72.35,asia,JUSP,3000,1157,1995,ITRDB,kyrg007
40.12,72.35,asia,JUTU,,1420,1987,ITRDB,kyrg008
39.55,71.28,asia,JUTU,,1019,1987,ITRDB,kyrg009
40.1,72.37,asia,JUTU,,1427,1987,ITRDB,kyrg010
39.5,71.3,asia,JUTU,,694,1987,ITRDB,kyrg011
42.12,79.03,asia,PCSH,2827,1450,2005,ITRDB,kyrg012
42.09,79.28,asia,PCSH,2950,1301,2006,ITRDB,kyrg013
42.25,78.58,asia,PCSH,3010,1551,2005,ITRDB,kyrg014
42.09,79.27,asia,PCSH,3050,1528,2005,ITRDB,kyrg015
33.41,35.41,asia,CDLI,1775,1829,2002,ITRDB,leba001
34.28,36.14,asia,ABCI,1175,1722,2001,ITRDB,leba002
34.18,35.59,asia,CDLI,1640,1809,2001,ITRDB,leba003
34.14,36.02,asia,CDLI,1900,1382,2002,ITRDB,leba004
34.08,35.49,asia,CDLI,1780,1778,2002,ITRDB,leba005
33.4,35.41,asia,CDLI,1720,1730,2002,ITRDB,leba006
18.1,102.48,asia,PIMK,,1743,2005,ITRDB,ls001
18.2,103.08,asia,PIMK,,1785,2005,ITRDB,ls002
50.46,100.12,asia,LASI,2300,1550,1994,ITRDB,mong001
47.46,107,asia,PISI,1755,1506,1994,ITRDB,mong002
48.18,98.56,asia,PISI,2420,558,1999,ITRDB,mong003
47.54,107.27,asia,LASI,1565,1798,1994,ITRDB,mong004
48.34,110.33,asia,PISY,1070,1651,1996,ITRDB,mong005
47.47,107.3,asia,LASI,1415,1582,2001,ITRDB,mong006
49.42,-91.33,asia,LADA,2000,1570,1995,ITRDB,mong007w
49.22,94.53,asia,PISI,2229,1641,1998,ITRDB,mong008
49.55,91.34,asia,LASI,2500,1326,1998,ITRDB,mong009
47.16,100.02,asia,LASI,2500,1363,1999,ITRDB,mong010
48.09,100.17,asia,LASI,1900,1513,2001,ITRDB,mong011
48.59,103.14,asia,LASI,1400,1511,2002,ITRDB,mong012
48.46,97.07,asia,LASI,1841,1638,1998,ITRDB,mong013
49.29,100.5,asia,LASI,1800,1557,2002,ITRDB,mong014
48.1,99.52,asia,LASI,2060,1340,2000,ITRDB,mong015
48.36,88.22,asia,LASI,,1469,2004,ITRDB,mong016
49.58,91,asia,LASI,,1350,2005,ITRDB,mong017
49.58,90.59,asia,LASI,,1519,2005,ITRDB,mong018
47.06,90.58,asia,LASI,,1375,2004,ITRDB,mong019
48.16,88.52,asia,LASI,,1537,2005,ITRDB,mong020
48.21,107.28,asia,LASI,,996,2002,ITRDB,mong021
48.5,111.4,asia,PISI,,1692,1996,ITRDB,mong022
49.3,94.35,asia,LASI,,1613,1998,ITRDB,mong023
48.3,88.3,asia,LASI,,1215,2004,ITRDB,mong024
48.42,88.48,asia,LASI,,1565,2004,ITRDB,mong025
46.49,100.07,asia,LASI,,1411,2002,ITRDB,mong026
46.19,101.19,asia,LASI,,1599,2001,ITRDB,mong027
48.5,111.41,asia,LASI,,1576,2001,ITRDB,mong028
49.52,91.26,asia,LASI,,1249,1998,ITRDB,mong029
49.23,94.53,asia,LASI,,1432,1998,ITRDB,mong030
48.15,97.24,asia,PISI,,1516,1998,ITRDB,mong031
